epoch,accuracy,loss,val_accuracy,val_loss
0,0.3736507,1.3228280211695997,0.4438040256500244,1.266088814488062
1,0.6266261,1.008122007849472,0.6224783658981323,0.953277847780618
2,0.78688073,0.609877619441777,0.7204610705375671,0.78623291257479
3,0.84638804,0.4181532551798173,0.6974063515663147,0.8092353326786492
4,0.887628,0.3238196423385007,0.6974063515663147,0.8132619923061184
5,0.91419876,0.25644746143138875,0.7118155360221863,0.8866094153277813
6,0.93191254,0.21319281649893088,0.7031700015068054,0.9372125738635874
7,0.94215333,0.1802048157810868,0.6714697480201721,0.9781994924421613
8,0.9548851,0.15067732538703138,0.6858789920806885,1.0856778898225394
9,0.9601439,0.13516406942166154,0.680115282535553,1.1285642570995804
10,0.96457237,0.11958246298264243,0.6714697480201721,1.1499065445891719
11,0.9648492,0.11386865940395564,0.6714697480201721,1.1944959620577458
12,0.9703847,0.10010098416637656,0.6916426420211792,1.2786804092376995
13,0.9703847,0.09765193263497209,0.680115282535553,1.2874084613165182
14,0.97259897,0.08879791301619205,0.6714697480201721,1.3352286185242601
15,0.9728757,0.08682270328997081,0.6714697480201721,1.3732975003355175
16,0.9731525,0.08582173154034378,0.6743515729904175,1.4236265197610993
17,0.9739828,0.08154502534120656,0.6628242135047913,1.4312620679995511
18,0.9742596,0.07438299948297526,0.6887608170509338,1.456257217555637
19,0.97619706,0.06541716627319855,0.6772334575653076,1.4651264256290468
20,0.97370607,0.07660158230788303,0.6887608170509338,1.5167221590146551
21,0.97868806,0.06557248387286745,0.6570605039596558,1.5457246100868203
22,0.9792416,0.06312113959077253,0.6858789920806885,1.5784878869908687
23,0.97647387,0.06657421012627363,0.6426513195037842,1.5967900594991635
24,0.97619706,0.06431376139501638,0.6714697480201721,1.5933654813326745
